Jacob Frey,Mike Winter,Mark Globus,"Kevin ""No Body"" Ward",AJ Awed,Kate Knuth,Laverne Turner,"Bob ""Again"" Carney Jr",Sheila Nezhad,Clint Conner,"Perry, Jerrell","Nate ""Honey Badger"" Atkins",Troy Benjegerdes,Doug Nelson,Christopher W David,Marcus Harcus,UWI,Paul E. Johnson
4,,,,,3,,,,5,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,4,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,3,,,5,,4,,,,,,,
,,,,,4,,,5,,,,,3,,,,
5,,,,,4,,,,,,,,,,,,
5,,,,3,,,,,4,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,4,,,,,,,,,,,
,,,,,,4,5,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
4,,,,,,,,,5,,,,,,,,
,,,,5,,,,,,,,,,,,,
4,,,,5,3,,,,,,,,,,,,
5,,,,,,,,,4,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,,5,3,,,,4,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,,,,4,,,,,5,,,,
,,,,5,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,4,,,,,,,,
5,,,,,,,,4,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,4,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,4,,,,,,,,,,,
,,,,,,,,5,,,,,4,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,3,5,,
,,,,5,,,,,,,,,,,,,
,,,,5,4,,,,,,,,,,,,
5,,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,5,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,3,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,,,,,5,3,,4,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,4,,,,,,,,,,,
5,,,,,,,,3,4,,,,,,,,
5,,,,,,,,4,,,,,,,,,
,,,,,,,,5,,,,,4,,,,
,,,,,4,,,5,,3,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,4,3,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,3,,,4,,,,,,,,,
,,,,5,4,,,,,,,,,3,,,
3,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
4,,,,5,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,5,,,,,,,,,
5,,,,,3,,,4,,,,,,,,,
,,5,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,,5,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
3,,,,5,,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,4,3,,,,,,,,,,,
5,,,,,,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,3,4,,,,,,,,,,,,
5,,3,,,,,,,4,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,3,,,,,,,
,,,,,4,,,5,,,3,,,,,,
5,,,,,4,,,3,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
5,,,,,4,,,,,,,3,,,,,
5,,,,,,,,,4,,,,3,,,,
,,,,3,5,,,4,,,,,,,,,
,,,,,3,,,5,,,,,,,4,,
5,,,,,3,,,4,,,,,,,,,
5,,,,,3,,,4,,,,,,,,,
4,,,,3,,,,,5,,,,,,,,
4,,,,,5,,,,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,3,,
,,,,,4,,,5,,,,,,,3,,
,,,,,,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,4,,,,,3,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,4,,,,,,,5,,,,,3,,,
5,,,,,,,,,,,,,,,,,
5,,,,4,,,,,,,,,,,,,
5,,,,4,,,,,,,,,,,,,
5,4,3,,,,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,4,3,,,,,,,,,,,,
4,,,,,5,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,3,,,,,,,,,4,,,
4,,,,,,,,,5,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,,3,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
3,,,,,4,,,,5,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
,,3,,4,,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,3,,,,4,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,4,,,5,,,,,,,,,
4,,,,,5,,,3,,,,,,,,,
5,,3,,,4,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,
5,,,,3,,4,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,4,,,3,,,,,,,,,,,,
,,4,,,5,,,,3,,,,,,,,
,,5,,,,,,4,,,,,,,,,
,,,,,,5,4,,,,,,,,,,
,,3,,,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,3,,,,,,,4,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
,,5,,,4,,,,,,3,,,,,,
3,,,,,5,,,4,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,,5,,,,,,,,
,,,,,,,,,5,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
,,3,,,,,,,4,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
5,,3,,,4,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,3,,,,,4,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,4,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,4,,,,3,,,,,,,
,,,,,4,,,5,,,,,,,,3,
,,,,,4,,,5,,,,,,,,3,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,5,,,,,,,,,,,,,
,,5,,,,,,,4,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,4,3,,,,,,,,,,,,
,,,,4,3,,,5,,,,,,,,,
4,,,,,,,,5,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,5,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,3
,,,,,,,,,,,,,,5,,,
5,,,,,4,,,,3,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
4,,,,,,,,5,,,,,,,,,
5,,,,,4,,,,3,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,4,,,5,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,4,,,3,,,,,
4,,,,3,,,,,5,,,,,,,,
,,,,,3,,,5,,4,,,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,3,,
5,,,,3,4,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,5,,,,,,,,,
,,,,,3,,,5,,,,,,,4,,
5,3,,,,,,,,,,,,,4,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,4,,,5,,,,,,3,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,4,,,,5,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,,,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
5,,3,,,,,,,4,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
5,,3,,,,,4,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
4,,,,,3,,,5,,,,,,,,,
4,,,,,,,,,5,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,,4,,,,3,,,,,,,,
,,4,,,5,,,,,,,,,3,,,
3,,,,,4,,,5,,,,,,,,,
5,,,,,3,,,4,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,4,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,5,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
4,,,,,5,,,,,,,,,3,,,
5,,,,,,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,,,4,,,5,,,,,,,,,3
5,,,,,,,,,,,,,,,,,
,,,,,3,,,5,,4,,,,,,,
,,,,,,5,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,4,,3,,
,,,,3,4,,,5,,,,,,,,,
3,,,,,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,4,3,,,,,,,
4,,,,,5,,,,3,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,4,,,3,,,,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
5,,,3,,,,,,4,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,4,,,,,,,,,,,,,
5,,,,4,,,,,,,,,,,,,
5,,,,,,,,,,,,,3,,4,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,,,5,,,4,,,,,,,,3,
5,,,,,,,,,,,,,,,,,
5,,3,4,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,3,,,,,4,,,,,,,,
,,,,,5,,,4,,,,,,,,,
3,,,,,4,,,5,,,,,,,,,
5,,,,4,3,,,,,,,,,,,,
5,,3,,,,,4,,,,,,,,,,
5,,4,,,,,,,3,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,3,,,,,,,,,4,,,,,,
4,,,,,,,,,5,,,,3,,,,
5,,,,,,,,4,,,,,,3,,,
5,,,,,4,,,3,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
4,,,,,,,,5,3,,,,,,,,
,,,,,5,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,5,,,,,3,4,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
3,,5,,,,,,,4,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,3,,,,,,,,,4,,,,,,
5,,,,,4,,,,,,,,,3,,,
,,,,3,4,,,5,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
5,,3,,,,,,4,,,,,,,,,
5,,,,,,,,,,,,4,,3,,,
5,,,,3,,,,,,,,,,4,,,
3,,,,4,5,,,,,,,,,,,,
,,,,5,4,,,3,,,,,,,,,
,,,,,,5,,,,,,,,,,,
,,,,,5,,,4,,,,,,,3,,
5,,3,,,,,,,4,,,,,,,,
,,,,,5,,,4,3,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,4,,,,,,,3,,,,,5,,
5,,,,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,,4,,,,,,,,,,3,,
5,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
3,,,,5,4,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,4,,,
,,,,,,5,,,,,,,,,,,
,,,,,,5,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,,5,,,,,,,,
4,,,,,3,,,,5,,,,,,,,
5,,,,,,4,,,3,,,,,,,,
4,,,,,,,,5,,,,,,,3,,
3,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
4,,,,,,,,,5,,,,,,,,
5,,,,,4,,,,3,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
5,,3,,,,,,,4,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,4,,,,3,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,4,,,5,,,,,,,,,
,,,,,,,,5,,,,,,,,,
,,,,,4,,,5,3,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,5,,,4,3,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
4,,,,,,5,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,3,,,,,4,,,,,,,,
5,,,,,,,,,4,,,3,,,,,
5,,,,,,,,,4,,,3,,,,,
5,,,,,,,,,,,,,,,,,
5,4,,,,3,,,,,,,,,,,,
5,,,,,,4,,,,,,3,,,,,
,,,,3,4,,,5,,,,,,,,,
,5,3,,,,,,,,,4,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,3,,,,,,
,,,,,,,,,5,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,,4,,,5,3,,,,,,,,
5,,,,,3,,,,4,,,,,,,,
5,,,,4,,,,,3,,,,,,,,
5,,,,4,,,,,,,,,,,,,
,,,,,,,5,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
5,,,,3,,,,,4,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
,,,,,,,,5,,,,,,,,,
5,,,,4,,,,,3,,,,,,,,
,,,,,,,,,5,,,,,,,,
5,,,,,,,,,4,,,,,,,,
5,,,,,4,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,4,,,5,,,,,3,,,,
,,,,,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,,5,,,,,,,,,,,
5,,,,,,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,3,,,,,,,,,,4,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,3,4,,,,,,,,,,5,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,4,,,,,,,,,,,3,
5,,,,,3,,,,4,,,,,,,,
,,,,,,,,,5,,,,,,4,,
,,,,,4,,,5,,,,,,3,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
4,,,,,5,,,,,,,,,,,,
5,,,,,,,,,3,,,4,,,,,
5,,,,,4,,,3,,,,,,,,,
,,,,,5,,,,,,,,,,,,
5,,,,,,,,,4,,,,,,,,
5,,,,,4,,,,,,,,,,,,
,,,,3,4,,,5,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
,,,,,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,3,,,,,,,,,
4,,,,,5,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,4,,,,,,,,,,,,
4,,,,,5,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
5,,,,,,3,4,,,,,,,,,,
5,,,,,,,,,,,,,,3,4,,
,,,5,,,3,4,,,,,,,,,,
,,,,3,5,,,4,,,,,,,,,
5,,,,,,,,,,,,,,,,,
